"Replicate","Seed","Dataset","Tissue","Species","NCells","NGenes","NClusters","MeanClusterPurity","MedianClusterPurity","MinClusterPurity","TopMarkers","SeuratResolution","NPCs"
1,100,"PBMC","PBMC","Human",2700,13714,8,0.941230819126429,0.957894270787213,0.843853820598007,25,0.5,50
1,100,"BaronPancreas","Pancreas","Human",8569,20125,16,0.95154749050253,0.988306581857033,0.533980582524272,25,0.5,50
1,100,"MuraroPancreas","Pancreas","Human",2122,19059,11,0.953660414424553,0.947368421052632,0.892307692307692,25,0.5,50
1,100,"TasicBrain","Brain","Mouse",1809,24058,15,0.928741651094654,0.971428571428571,0.692307692307692,25,0.5,50
1,100,"ZeiselBrain","Brain","Mouse",3005,20006,16,0.773479236478526,0.739583333333333,0.504098360655738,25,0.5,50
1,100,"ZilionisLung","Lung","Human",5000,41861,17,0.933913997024838,0.976958525345622,0.659574468085106,25,0.5,50
2,200,"PBMC","PBMC","Human",2700,13714,8,0.941230819126429,0.957894270787213,0.843853820598007,25,0.5,50
2,200,"BaronPancreas","Pancreas","Human",8569,20125,16,0.95154749050253,0.988306581857033,0.533980582524272,25,0.5,50
2,200,"MuraroPancreas","Pancreas","Human",2122,19059,11,0.953660414424553,0.947368421052632,0.892307692307692,25,0.5,50
2,200,"TasicBrain","Brain","Mouse",1809,24058,15,0.928741651094654,0.971428571428571,0.692307692307692,25,0.5,50
2,200,"ZeiselBrain","Brain","Mouse",3005,20006,16,0.773479236478526,0.739583333333333,0.504098360655738,25,0.5,50
2,200,"ZilionisLung","Lung","Human",5000,41861,16,0.898449962937747,0.964895254668362,0.40625,25,0.5,50
3,300,"PBMC","PBMC","Human",2700,13714,8,0.941230819126429,0.957894270787213,0.843853820598007,25,0.5,50
3,300,"BaronPancreas","Pancreas","Human",8569,20125,16,0.95154749050253,0.988306581857033,0.533980582524272,25,0.5,50
3,300,"MuraroPancreas","Pancreas","Human",2122,19059,11,0.953660414424553,0.947368421052632,0.892307692307692,25,0.5,50
3,300,"TasicBrain","Brain","Mouse",1809,24058,15,0.928741651094654,0.971428571428571,0.692307692307692,25,0.5,50
3,300,"ZeiselBrain","Brain","Mouse",3005,20006,16,0.773479236478526,0.739583333333333,0.504098360655738,25,0.5,50
3,300,"ZilionisLung","Lung","Human",5000,41861,18,0.8974009608888,0.974949000407997,0.446666666666667,25,0.5,50
